DatasetKey,Occurrences
50c9509d-22c7-4a22-a47d-8c48425ef4a7,1192
832b8188-f762-11e1-a439-00145eb45e9a,857
6ac3f774-d9fb-4796-b3e9-92bf6c81c084,8
4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,4822
861d3d64-f762-11e1-a439-00145eb45e9a,74
9661bc40-f762-11e1-a439-00145eb45e9a,70
84e823d2-f762-11e1-a439-00145eb45e9a,2
821cc27a-e3bb-4bc5-ac34-89ada245069d,618
09c4287e-e6d5-4552-a07f-bff8a00833d8,34
fb639e31-52eb-4998-afb1-984ee12aca0f,41
040c5662-da76-4782-a48e-cdea1892d14c,1
dce00a1f-f6b4-4e11-9771-92c62c40ad80,2177
8935e64a-f762-11e1-a439-00145eb45e9a,50
cece4fc2-1fec-4bb5-a335-7252548e3f0b,60
3cc72eb1-0f9e-496d-96e9-3cf6f7d94b0a,271
d8cd16ba-bb74-4420-821e-083f2bac17c2,315
84b4d6e4-f762-11e1-a439-00145eb45e9a,45
1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,1
217b0d4f-c87e-4063-b6c5-78277e40e866,7
49c45996-3726-468e-be35-eb37cb5b8e45,42
395dfaad-8b0d-47e2-a2ea-bf8a3fd5c10c,7
c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,10
76dd8f0d-2daa-4a69-9fcd-55e04230334a,62
e48d6c49-34a3-4df6-8206-121c061f190d,67
51fa0155-a545-4154-ac20-b89dbb2c312b,11
74f92761-3a24-4d85-9bfb-00b1fee0119d,1
7a25f7aa-03fb-4322-aaeb-66719e1a9527,292
fccafd83-a934-4021-a112-4ae5fd39c14b,3
b6015b60-6f96-43a9-88e5-2f41854e8f07,110
84786a2e-f762-11e1-a439-00145eb45e9a,9
86594bf6-f762-11e1-a439-00145eb45e9a,73
7e380070-f762-11e1-a439-00145eb45e9a,26
83713818-f762-11e1-a439-00145eb45e9a,50
852628c6-f762-11e1-a439-00145eb45e9a,19
91025c69-111a-45c0-8440-59cb9efbdff7,1
2fba9985-ac30-46cb-99bf-91ccde0d8d2f,6
a8ee9bc6-5914-427d-9fba-f8545250ac34,2
8e479b8f-ac16-4bed-a11a-bc7e27c31663,1
427a6290-0c65-11dd-84d2-b8a03c50a862,30
8286cf26-f762-11e1-a439-00145eb45e9a,2
cb643105-2e6b-403d-a23b-2c8128d1f97c,4
64be02e0-0c64-11dd-84d1-b8a03c50a862,1
71d0dff0-f762-11e1-a439-00145eb45e9a,1056
8d88898d-a2c4-4616-a1fe-431b9c06b671,2
58d0f326-2e85-4d0a-a744-571461220f00,2
7d8ed137-1d30-42f1-8b78-12a4957e4690,1
807747cb-d128-4029-af64-9f4ba53c4285,1